Start (s),End (s),scientific_name,common_name,Confidence,File,lat,lon
42.0,45.0,Corvus monedula,Eurasian Jackdaw,0.9325,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082500.wav,51.407777,-0.646617
45.0,48.0,Corvus monedula,Eurasian Jackdaw,0.3132,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082500.wav,51.407777,-0.646617
48.0,51.0,Erithacus rubecula,European Robin,0.3513,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_082500.wav,51.407777,-0.646617
0.0,3.0,Corvus monedula,Eurasian Jackdaw,0.7330,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_083000.wav,51.407777,-0.646617
3.0,6.0,Aegithalos caudatus,Long-tailed Tit,0.4392,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_083000.wav,51.407777,-0.646617
24.0,27.0,Erithacus rubecula,European Robin,0.2983,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_083000.wav,51.407777,-0.646617
33.0,36.0,Erithacus rubecula,European Robin,0.6330,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_083000.wav,51.407777,-0.646617
36.0,39.0,Erithacus rubecula,European Robin,0.3481,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_083000.wav,51.407777,-0.646617
45.0,48.0,Aegithalos caudatus,Long-tailed Tit,0.4355,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_083000.wav,51.407777,-0.646617
45.0,48.0,Erithacus rubecula,European Robin,0.3455,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_083000.wav,51.407777,-0.646617
54.0,57.0,Erithacus rubecula,European Robin,0.3711,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_083000.wav,51.407777,-0.646617
6.0,9.0,Oriolus oriolus,Eurasian Golden Oriole,0.2866,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084000.wav,51.407777,-0.646617
33.0,36.0,Psittacula krameri,Rose-ringed Parakeet,0.2557,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084000.wav,51.407777,-0.646617
45.0,48.0,Pica pica,Eurasian Magpie,0.3206,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084000.wav,51.407777,-0.646617
3.0,6.0,Sitta europaea,Eurasian Nuthatch,0.5690,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084500.wav,51.407777,-0.646617
9.0,12.0,Sitta europaea,Eurasian Nuthatch,0.4161,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084500.wav,51.407777,-0.646617
15.0,18.0,Sitta europaea,Eurasian Nuthatch,0.5664,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084500.wav,51.407777,-0.646617
18.0,21.0,Sitta europaea,Eurasian Nuthatch,0.3509,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084500.wav,51.407777,-0.646617
18.0,21.0,Regulus ignicapilla,Common Firecrest,0.2535,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084500.wav,51.407777,-0.646617
27.0,30.0,Sitta europaea,Eurasian Nuthatch,0.3344,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084500.wav,51.407777,-0.646617
30.0,33.0,Sitta europaea,Eurasian Nuthatch,0.5648,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084500.wav,51.407777,-0.646617
39.0,42.0,Dendrocopos major,Great Spotted Woodpecker,0.3253,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_084500.wav,51.407777,-0.646617
0.0,3.0,Garrulus glandarius,Eurasian Jay,0.3053,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085000.wav,51.407777,-0.646617
12.0,15.0,Erithacus rubecula,European Robin,0.3849,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085000.wav,51.407777,-0.646617
18.0,21.0,Corvus monedula,Eurasian Jackdaw,0.8180,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085000.wav,51.407777,-0.646617
42.0,45.0,Corvus monedula,Eurasian Jackdaw,0.3762,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085000.wav,51.407777,-0.646617
48.0,51.0,Erithacus rubecula,European Robin,0.3929,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085000.wav,51.407777,-0.646617
54.0,57.0,Erithacus rubecula,European Robin,0.4676,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085000.wav,51.407777,-0.646617
57.0,60.0,Corvus monedula,Eurasian Jackdaw,0.5176,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085000.wav,51.407777,-0.646617
0.0,3.0,Parus major,Great Tit,0.3203,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085500.wav,51.407777,-0.646617
9.0,12.0,Parus major,Great Tit,0.3965,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085500.wav,51.407777,-0.646617
15.0,18.0,Turdus merula,Eurasian Blackbird,0.4096,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085500.wav,51.407777,-0.646617
15.0,18.0,Pica pica,Eurasian Magpie,0.2919,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085500.wav,51.407777,-0.646617
18.0,21.0,Pica pica,Eurasian Magpie,0.6755,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085500.wav,51.407777,-0.646617
21.0,24.0,Corvus monedula,Eurasian Jackdaw,0.2560,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085500.wav,51.407777,-0.646617
24.0,27.0,Corvus monedula,Eurasian Jackdaw,0.2975,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_085500.wav,51.407777,-0.646617
