Start (s),End (s),scientific_name,common_name,Confidence,File,lat,lon
36.0,39.0,Troglodytes troglodytes,Eurasian Wren,0.4291,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_072000.wav,51.407777,-0.646617
42.0,45.0,Erithacus rubecula,European Robin,0.3504,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_072000.wav,51.407777,-0.646617
45.0,48.0,Erithacus rubecula,European Robin,0.3620,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_072000.wav,51.407777,-0.646617
48.0,51.0,Erithacus rubecula,European Robin,0.5175,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_072000.wav,51.407777,-0.646617
51.0,54.0,Turdus philomelos,Song Thrush,0.3364,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_072000.wav,51.407777,-0.646617
9.0,12.0,Sitta europaea,Eurasian Nuthatch,0.5999,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_072500.wav,51.407777,-0.646617
12.0,15.0,Turdus iliacus,Redwing,0.6893,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_072500.wav,51.407777,-0.646617
21.0,24.0,Turdus iliacus,Redwing,0.8080,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_072500.wav,51.407777,-0.646617
27.0,30.0,Garrulus glandarius,Eurasian Jay,0.5090,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_072500.wav,51.407777,-0.646617
42.0,45.0,Garrulus glandarius,Eurasian Jay,0.9414,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_072500.wav,51.407777,-0.646617
0.0,3.0,Turdus merula,Eurasian Blackbird,0.9775,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
3.0,6.0,Turdus merula,Eurasian Blackbird,0.7716,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
6.0,9.0,Turdus merula,Eurasian Blackbird,0.9803,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
9.0,12.0,Turdus merula,Eurasian Blackbird,0.9689,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
12.0,15.0,Turdus merula,Eurasian Blackbird,0.9274,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
15.0,18.0,Turdus merula,Eurasian Blackbird,0.9713,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
18.0,21.0,Turdus merula,Eurasian Blackbird,0.9576,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
21.0,24.0,Turdus merula,Eurasian Blackbird,0.9621,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
24.0,27.0,Dendrocopos major,Great Spotted Woodpecker,0.2585,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
27.0,30.0,Turdus merula,Eurasian Blackbird,0.4876,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
33.0,36.0,Turdus merula,Eurasian Blackbird,0.6633,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
33.0,36.0,Turdus pilaris,Fieldfare,0.4344,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
36.0,39.0,Turdus merula,Eurasian Blackbird,0.8726,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
39.0,42.0,Turdus merula,Eurasian Blackbird,0.6170,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_073000.wav,51.407777,-0.646617
