ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,Stem_number,Stem_distance,Angle_to_base,Angle_to_canopy,Stem_girth
1dabcbb0-84e5-11ef-964e-59639e1efb13,230040c0-84de-11ef-b4b8-ad67e2d10b7e,2024-10-07T19:48:25.195Z,2024-10-07T19:49:10.000Z,2,2,17.4,10,48,114
0707bea0-84e5-11ef-964e-59639e1efb13,230040c0-84de-11ef-b4b8-ad67e2d10b7e,2024-10-07T19:47:47.210Z,2024-10-07T19:48:23.000Z,1,1,17.4,10,48,110
79077830-84e3-11ef-8682-0944a739c9b6,06879650-84de-11ef-b4b8-ad67e2d10b7e,2024-10-07T19:36:39.475Z,2024-10-07T19:38:23.000Z,1,1,20.4,2,42,273
62985dd0-84e3-11ef-a438-adf58b2d0c69,e4260330-84dd-11ef-b4b8-ad67e2d10b7e,2024-10-07T19:36:01.837Z,2024-10-07T19:36:27.000Z,2,2,18.4,2,38,80
34bba4d0-84e3-11ef-a438-adf58b2d0c69,e4260330-84dd-11ef-b4b8-ad67e2d10b7e,2024-10-07T19:34:44.893Z,2024-10-07T19:35:59.000Z,1,1,18.4,2,38,235
85149720-84de-11ef-bae8-5708b5dfe1b1,be671440-84dd-11ef-b4b8-ad67e2d10b7e,2024-10-07T19:01:12.210Z,2024-10-07T19:01:51.000Z,2,2,18,4,42,80
5a31e440-84de-11ef-bae8-5708b5dfe1b1,be671440-84dd-11ef-b4b8-ad67e2d10b7e,2024-10-07T19:00:00.260Z,2024-10-07T19:01:10.000Z,1,1,18,4,42,200
96d02591-7cc4-49fe-b2f8-ca2a442d9ce4,a4c1c69b-7cf5-4f57-a99f-8f1c8b264843,2024-10-07T18:30:50.000Z,2024-10-07T18:33:44.000Z,1,1,10.1,13,26,100
8ecbcf6b-73bf-40f8-b903-8c187e57d75f,9bcf2d45-1bcf-4f9e-b81c-b0849d4da9a0,2024-10-07T18:30:03.000Z,2024-10-07T18:33:41.000Z,1,1,11.2,19,30,80
8376cb22-c522-48eb-9dd7-6d4307242133,df224e4d-ea4e-44f1-89b2-7a4fe2f0fce6,2024-10-07T18:29:18.000Z,2024-10-07T18:33:38.000Z,1,1,14,17,47,75
8195b4f1-ac0c-4e2c-ab6c-122714636b6b,92dff88b-5502-4419-9cf9-842c6706c217,2024-10-07T18:23:03.000Z,2024-10-07T18:33:35.000Z,2,2,4.2,10,48,114
48404ec1-1e78-495c-b8ac-26fd9975836b,92dff88b-5502-4419-9cf9-842c6706c217,2024-10-07T18:22:12.000Z,2024-10-07T18:33:33.000Z,1,1,4.2,10,48,110
e946c3c8-0c7a-41b2-85bb-c1aa5838fc42,e94cebd3-a7cb-4682-8ba9-1ff0a3364c26,2024-10-07T17:29:04.000Z,2024-10-07T17:30:36.000Z,1,1,10.5,,54,150
